Agent,Leaving_Probability_Before
0,0.07
1,0.075
2,0.11428571428571428
3,0.07476635514018691
4,0.07692307692307693
5,0.07547169811320754
6,0.12162162162162163
7,0.0684931506849315
8,0.03731343283582089
9,0.08130081300813008
