Agent,Leaving_Probability_Before
0,0.017699115044247787
1,0.02564102564102564
2,0.018518518518518517
3,0.007246376811594203
4,0.01762114537444934
5,0.018867924528301886
6,0.03535353535353535
7,0.030303030303030304
8,0.0213903743315508
9,0.0051813471502590676
